n_drones,num_detected,num_intercepted,num_passed,success_rate,civil_risk,missiles_used,detection_rate,weather_factor,terrain_factor,radar_jam,comm_jam_level,strategy,num_units,missiles_per_unit_avg
112,44,19,93,0.16964285714285715,0.475006021357713,44,0.39285714285714285,0.9976557444884671,0.8309195949246893,0.13946789404832302,0.3406075978332259,most_threat,5,10.0
46,14,9,37,0.1956521739130435,0.46204234925643267,14,0.30434782608695654,0.6717013022957122,0.8469747952550783,0.06775554041573759,0.32014398505499075,most_threat,5,10.0
80,33,11,69,0.1375,0.4414055413275544,33,0.4125,0.8215293762534902,0.7564896749104537,0.13677653249068336,0.26269155356984625,most_threat,5,10.0
57,23,4,53,0.07017543859649122,0.5201079536040791,23,0.40350877192982454,0.8692445392498114,0.9953744046966094,0.05352175132309337,0.41261371763878313,most_threat,5,10.0
161,67,20,141,0.12422360248447205,0.4811136347871973,48,0.4161490683229814,0.9247252427783115,0.8709163568643299,0.05326975751298835,0.14274776743960593,most_threat,5,10.0
67,19,9,58,0.13432835820895522,0.48922285187271564,19,0.2835820895522388,0.7068243760957441,0.7200721032689684,0.0796116872845812,0.2116796655192957,most_threat,5,10.0
27,12,3,24,0.1111111111111111,0.49903192911089495,12,0.4444444444444444,0.8317071318300797,0.7893475393588233,0.127710400535568,0.36546723761932953,most_threat,5,10.0
136,55,11,125,0.08088235294117647,0.5105481990931895,34,0.40441176470588236,0.7969025625515778,0.9492227670720914,0.057885576414071216,0.3277043741007638,most_threat,5,10.0
200,45,11,189,0.055,0.5360075333267154,45,0.225,0.6910248121279463,0.5834770028522227,0.10193971559430802,0.21983148703141323,most_threat,5,10.0
184,31,11,173,0.059782608695652176,0.5511083129469982,31,0.16847826086956522,0.7163439895771724,0.5326371923508291,0.07405001173857514,0.5653956562963537,most_threat,5,10.0
57,22,5,52,0.08771929824561403,0.506350984709547,22,0.38596491228070173,0.7394889395201142,0.5994642068326399,0.06075110581306013,0.13300187494516685,most_threat,5,10.0
144,71,14,130,0.09722222222222222,0.49368716632158754,40,0.4930555555555556,0.8669996478495943,0.9688699918368779,0.03251744985697445,0.15471003054816787,most_threat,5,10.0
54,13,4,50,0.07407407407407407,0.5338715634803364,13,0.24074074074074073,0.6466789332571893,0.5072013131740767,0.09271562518606143,0.10773636102703879,most_threat,5,10.0
172,60,13,159,0.0755813953488372,0.5274229255820283,31,0.3488372093023256,0.7635567338821565,0.9311447872975642,0.19894151073327254,0.09502877042478022,most_threat,5,10.0
48,24,8,40,0.16666666666666666,0.4691543314104399,24,0.5,0.8136053431453188,0.7691085853065824,0.08677208379982618,0.24615839058068695,most_threat,5,10.0
160,37,13,147,0.08125,0.50777139892731,37,0.23125,0.7202273565566777,0.5994863592874982,0.09072657483036033,0.6103160630202369,most_threat,5,10.0
32,16,6,26,0.1875,0.47543012743188084,16,0.5,0.987854727600523,0.9012882993728828,0.06744800661214889,0.1983370389244633,most_threat,5,10.0
89,41,21,68,0.23595505617977527,0.44667429539496245,41,0.4606741573033708,0.9474016467827453,0.9128354301715746,0.14188385426437045,0.12865453567005625,most_threat,5,10.0
152,68,23,129,0.1513157894736842,0.4650979491548489,58,0.4473684210526316,0.9857194274067049,0.7009354010002735,0.0887544634898364,0.06780791495051805,most_threat,5,10.0
72,22,11,61,0.1527777777777778,0.4799791103123897,22,0.3055555555555556,0.8411463900897836,0.6081935033210251,0.052696735730812336,0.26965037596992936,most_threat,5,10.0
116,62,22,94,0.1896551724137931,0.45265176927867806,43,0.5344827586206896,0.9931608304671924,0.9436657328834006,0.10385841266471467,0.2693923656695732,most_threat,5,10.0
172,62,11,161,0.06395348837209303,0.5268086793356517,28,0.36046511627906974,0.8343440977586496,0.879122613977549,0.18196451244114895,0.45121713113805884,most_threat,5,10.0
97,33,10,87,0.10309278350515463,0.4990962380586142,33,0.3402061855670103,0.8036095905018276,0.9032888255440459,0.1341945905892922,0.4012272494045956,most_threat,5,10.0
93,24,6,87,0.06451612903225806,0.5233194149730735,24,0.25806451612903225,0.6849430350639071,0.776604110232193,0.12391150795861663,0.6749503935999589,most_threat,5,10.0
160,54,13,147,0.08125,0.5212804885954374,53,0.3375,0.6615906300534037,0.9547916359839037,0.08300640555729935,0.6813012520282408,most_threat,5,10.0
174,46,10,164,0.05747126436781609,0.5166006183992613,40,0.26436781609195403,0.6474811027020411,0.8434350973241334,0.06988616352309374,0.3580920603789849,most_threat,5,10.0
57,11,5,52,0.08771929824561403,0.5368268621469356,11,0.19298245614035087,0.6482453497757023,0.5041695500020039,0.07641672481204657,0.23766419234796538,most_threat,5,10.0
61,21,7,54,0.11475409836065574,0.510884879746483,21,0.3442622950819672,0.7355814310289676,0.8511781163168326,0.05454513061263832,0.26655169781627436,most_threat,5,10.0
50,10,5,45,0.1,0.5165149141585227,10,0.2,0.8471322474646683,0.6049544441039839,0.11005333599275202,0.12697803420675116,most_threat,5,10.0
35,9,2,33,0.05714285714285714,0.5400529924108041,9,0.2571428571428571,0.7760409355892325,0.9233520943198973,0.09429124919784937,0.1927007019615777,most_threat,5,10.0
69,14,6,63,0.08695652173913043,0.5362532186325218,14,0.2028985507246377,0.9633804774281759,0.5841411884532874,0.04373528076677529,0.5926032353404811,most_threat,5,10.0
168,91,16,152,0.09523809523809523,0.49910212492180034,44,0.5416666666666666,0.8728435737268652,0.9859364772937549,0.030860567493297797,0.09101757519250432,most_threat,5,10.0
24,9,6,18,0.25,0.4020214820675961,9,0.375,0.6856728401776369,0.8963698420321458,0.10624886563192723,0.25841848360092134,most_threat,5,10.0
140,49,17,123,0.12142857142857143,0.5101232754527846,49,0.35,0.8127754463456653,0.704971656284545,0.039605455275218415,0.1385770348691728,most_threat,5,10.0
106,46,19,87,0.1792452830188679,0.4675378726247313,46,0.4339622641509434,0.9383390382802005,0.8437787087397608,0.03254698785274947,0.39231179448046394,most_threat,5,10.0
112,31,11,101,0.09821428571428571,0.5062206739537972,31,0.2767857142857143,0.7658443525445447,0.9934458604367402,0.18963449555035392,0.13618807305949088,most_threat,5,10.0
66,27,11,55,0.16666666666666666,0.46341040408250145,27,0.4090909090909091,0.8125636970403497,0.8491357319572391,0.04648087414313701,0.0915207338953106,most_threat,5,10.0
112,34,11,101,0.09821428571428571,0.5013269718348932,28,0.30357142857142855,0.7696822018568094,0.7906489949594464,0.040483294152239536,0.23219748763862041,most_threat,5,10.0
193,61,21,172,0.10880829015544041,0.5070289552646905,48,0.3160621761658031,0.9201831681908917,0.5778617414265117,0.07636361391681724,0.24378430067911583,most_threat,5,10.0
180,36,13,167,0.07222222222222222,0.5218615157926771,36,0.2,0.8213364319266648,0.549871652701641,0.08976101756987687,0.2889058929363401,most_threat,5,10.0
40,22,8,32,0.2,0.42969276719321997,22,0.55,0.8610881741560088,0.878886167575355,0.001738565954817373,0.15668024869328756,most_threat,5,10.0
42,14,6,36,0.14285714285714285,0.48116044932189,14,0.3333333333333333,0.9766710345067194,0.5486708066826875,0.023495126674960936,0.5548705200202029,most_threat,5,10.0
29,12,2,27,0.06896551724137931,0.4978248429005732,12,0.41379310344827586,0.6247769308783458,0.9000793110364791,0.06635131924066329,0.18978337250290428,most_threat,5,10.0
139,54,11,128,0.07913669064748201,0.5306730271631611,54,0.38848920863309355,0.9604251320902497,0.7193301000204839,0.05098509589648378,0.006880446769383555,most_threat,5,10.0
41,8,4,37,0.0975609756097561,0.5199973575964906,8,0.1951219512195122,0.8592195100069477,0.68142429889414,0.0551901923970842,0.4646155674759389,most_threat,5,10.0
179,44,13,166,0.07262569832402235,0.5085670543345656,44,0.24581005586592178,0.8832681116697194,0.6051246512950487,0.08896832856350474,0.40405594661159466,most_threat,5,10.0
128,28,7,121,0.0546875,0.5428752128727168,28,0.21875,0.9676603098232088,0.5481127177722371,0.046404289468237804,0.29189863134503585,most_threat,5,10.0
33,7,3,30,0.09090909090909091,0.5094345631872433,7,0.21212121212121213,0.936588447123481,0.7600216732075471,0.08085316303338257,0.4626027225138745,most_threat,5,10.0
172,43,5,167,0.029069767441860465,0.5443060850782188,25,0.25,0.6582766823923494,0.7473384898470732,0.1726370662354636,0.2970739928106747,most_threat,5,10.0
51,25,9,42,0.17647058823529413,0.45675912437319033,25,0.49019607843137253,0.8114641201667738,0.9483528629221167,0.10123528830794554,0.19690642113002785,most_threat,5,10.0
26,11,5,21,0.19230769230769232,0.4446157717469888,11,0.4230769230769231,0.9857457617184666,0.9597562532777897,0.14112870527922314,0.3676112202012572,most_threat,5,10.0
122,50,7,115,0.05737704918032787,0.520457186280775,39,0.4098360655737705,0.7474316688023268,0.9775193310915576,0.12010334721168435,0.07784966401542809,most_threat,5,10.0
137,55,13,124,0.0948905109489051,0.4974489100849502,42,0.40145985401459855,0.6972981865523569,0.9355503207565107,0.05820361109129382,0.32183436040446417,most_threat,5,10.0
166,51,21,145,0.12650602409638553,0.49505177466511185,50,0.3072289156626506,0.8045394847854872,0.5580630026787905,0.10709491251583261,0.0640759490481005,most_threat,5,10.0
72,18,10,62,0.1388888888888889,0.49028394631082683,18,0.25,0.617245614842633,0.5509568579317377,0.07901218841096683,0.5588361366325448,most_threat,5,10.0
29,13,3,26,0.10344827586206896,0.4999555434659511,13,0.4482758620689655,0.9608792680461404,0.6346083458787366,0.014289012955832714,0.3154359215687189,most_threat,5,10.0
192,37,13,179,0.06770833333333333,0.5306265545276572,37,0.19270833333333334,0.8624146978687073,0.5048464034101652,0.10211193381508075,0.3843377524576483,most_threat,5,10.0
27,3,1,26,0.037037037037037035,0.5688943724959775,3,0.1111111111111111,0.6758232116959999,0.5115740132168705,0.04013207182310765,0.21731451646298955,most_threat,5,10.0
131,59,12,119,0.0916030534351145,0.5268904871919553,49,0.45038167938931295,0.8717704533166637,0.9042900029587562,0.010362511997783524,0.3521429647672355,most_threat,5,10.0
139,43,21,118,0.1510791366906475,0.48168417617910264,43,0.30935251798561153,0.8790368060291356,0.8062544157511928,0.18777202821110614,0.19374138342233668,most_threat,5,10.0
76,15,4,72,0.05263157894736842,0.552152919427507,15,0.19736842105263158,0.9051261556439478,0.66668031467023,0.08749217326912752,0.2772999850320259,most_threat,5,10.0
56,17,8,48,0.14285714285714285,0.4972560621399384,17,0.30357142857142855,0.8711046799548479,0.7362165594440171,0.0877038739925455,0.2744511337175927,most_threat,5,10.0
65,18,10,55,0.15384615384615385,0.4913243263871213,18,0.27692307692307694,0.8764372195085278,0.7364780174494672,0.17359552788294172,0.17559907401681787,most_threat,5,10.0
33,10,2,31,0.06060606060606061,0.5701159217549281,10,0.30303030303030304,0.8916781318522247,0.8341820728607277,0.08702923912952691,0.5498761883908374,most_threat,5,10.0
83,31,9,74,0.10843373493975904,0.48987641524281006,31,0.37349397590361444,0.6135955715706943,0.8221287830985271,0.11434259600039365,0.2732601439343625,most_threat,5,10.0
18,4,0,18,0.0,0.5342909399333886,4,0.2222222222222222,0.7046927308363349,0.5380205306038288,0.14305628196627726,0.4299066179436817,most_threat,5,10.0
